restaurant_name,location,cuisine,estimated_cost,rating
Cake of the Day,banashankari,bakery,150.0,3.7
Kabab Magic,basavanagudi,"north indian, kebab, chinese, fast food",400.0,4.1
Namma Brahmin's Idli,jayanagar,south indian,100.0,3.6
Gustoes Beer House,banashankari,"continental, italian, mexican, north indian, chinese, steak",1200.0,4.1
Sugar Rush,banashankari,"bakery, desserts",300.0,3.8
Burger King,basavanagudi,"burger, fast food, beverages",600.0,3.2
The Good Bowl,banashankari,"italian, north indian, biryani",500.0,3.6
The Biryani Cafe,banashankari,"biryani, chinese, kebab",300.0,4.1
LSD Cafe,banashankari,"chinese, continental, italian, north indian",700.0,2.9
Rolls On Wheels,banashankari,"fast food, rolls, momos",300.0,3.6
Sri Guru Kottureshwara Davangere Benne Dosa,basavanagudi,south indian,150.0,4.1
Devanna Dum Biriyani Centre,banashankari,"biryani, south indian",300.0,3.6
Kolbeh,banashankari,fast food,500.0,3.7
Upahar Sagar,banashankari,"south indian, chinese, north indian",350.0,3.8
Kadalu Sea Food Restaurant,vijay nagar,"seafood, north indian, chinese, andhra, biryani, kebab",500.0,3.8
Frozen Bottle,banashankari,"beverages, desserts, ice cream",400.0,4.2
Parimala Sweets,banashankari,"mithai, street food",200.0,3.5
Vaishali Deluxe,banashankari,"north indian, chinese",700.0,3.8
The Big O Bakes,banashankari,"bakery, desserts",300.0,4.0
Meghana Foods,jayanagar,"biryani, north indian, chinese",600.0,4.4
Krishna Sagar,banashankari,north indian,200.0,3.5
Dessert Rose,banashankari,desserts,500.0,3.5
Chickpet Donne Biryani House,banashankari,biryani,250.0,3.7
Thanco's Natural Ice Creams,banashankari,ice cream,300.0,3.2
Nandhini Deluxe,banashankari,north indian,600.0,2.6
Vi Ra's Bar and Restaurant,banashankari,"south indian, north indian, chinese",800.0,3.3
Kaggis,banashankari,"fast food, bakery",250.0,3.8
Ayda Persian Kitchen,banashankari,"north indian, iranian",950.0,3.7
Chatar Patar,banashankari,"fast food, street food",300.0,3.7
Polar Bear,basavanagudi,"ice cream, desserts, beverages, sandwich",400.0,3.8
Kidambi's Kitchen,banashankari,south indian,300.0,3.5
Mane Thindi,banashankari,south indian,200.0,3.7
Kotian Karavali Restaurant,banashankari,"south indian, biryani",300.0,3.5
Floured-Baked With Love,banashankari,bakery,400.0,3.8
Cakes & Slices,banashankari,"bakery, desserts",300.0,3.5
Spice 9,banashankari,"biryani, north indian, chinese, fast food",300.0,3.4
Naveen Kabab & Biriyani Mane,banashankari,biryani,300.0,3.2
Katriguppe Donne Biryani,banashankari,north indian,300.0,3.2
Atithi Point Ande Ka Funda,banashankari,north indian,150.0,3.1
Just Bake,banashankari,"bakery, desserts",400.0,3.4
K27 - The Pub,banashankari,"chinese, north indian",1000.0,3.1
Bengaluru Coffee House,banashankari,"south indian, north indian, chinese, street food",300.0,4.1
New Mangalore Lunch Home,banashankari,"mangalorean, south indian, north indian",200.0,3.3
Coffee Bytes,banashankari,"fast food, south indian",100.0,3.1
Parjanya Chat Zone,banashankari,"street food, fast food",200.0,3.3
Kwality Wall's Swirl's Happiness Station,banashankari,"ice cream, desserts",200.0,2.9
Ruchi Maayaka,banashankari,south indian,100.0,3.3
Anna Kuteera,banashankari,"south indian, north indian, chinese",450.0,4.0
Darbar,banashankari,"north indian, chinese",800.0,3.0
Vijayalakshmi,basavanagudi,south indian,200.0,3.9
Sri Udupi Food Hub,jayanagar,"south indian, north indian, chinese, beverages",500.0,4.1
Udupi Upahar,banashankari,"south indian, chinese, north indian, juices",300.0,3.8
House Of Kebabs,basavanagudi,"north indian, kebab, biryani, chinese",650.0,3.8
Roll N Rock,kumaraswamy layout,"chinese, north indian, mughlai, rolls",400.0,3.8
BOX8- Desi Meals,banashankari,"north indian, mughlai, fast food",500.0,4.1
KFC,banashankari,"burger, fast food",450.0,3.8
Roll Over,jayanagar,"desserts, ice cream, beverages, fast food, sandwich",500.0,4.1
Imperial Restaurant,mysore road,"north indian, chinese, biryani, beverages",750.0,3.7
Lassi Shop,kumaraswamy layout,"beverages, juices, ice cream",150.0,3.9
The Fortuna,kumaraswamy layout,"north indian, chinese",250.0,3.0
Wahab,jayanagar,"north indian, mughlai, chinese",350.0,3.7
Al Diwan Biryanis And More,basavanagudi,biryani,300.0,3.3
New Gowda's Fried Chicken,banashankari,biryani,300.0,3.3
Canton,jayanagar,"chinese, seafood, biryani",800.0,3.6
Diabetics Dezire Sugarless Sweets and Bakes,basavanagudi,"desserts, mithai",300.0,3.3
The Blue Wagon - Kitchen,jayanagar,"cafe, beverages",400.0,4.6
HOT COFFEE,basavanagudi,"south indian, chinese",150.0,4.1
Patio 805,jayanagar,"thai, vietnamese, asian, chinese",1200.0,4.1
Lassi Corner,basavanagudi,"beverages, ice cream",150.0,3.7
Sagar Deluxe,kumaraswamy layout,"south indian, north indian, chinese, juices",300.0,3.2
Kanti Sweets,banashankari,"mithai, street food",400.0,4.0
Vegetalia,banashankari,"italian, pizza",400.0,3.7
Aramane Donne Biryani,banashankari,biryani,200.0,3.5
Ande Ka Funda,banashankari,"north indian, fast food, rolls",250.0,3.8
Cake Ghar,basavanagudi,bakery,400.0,3.8
Energy Addaa,basavanagudi,"salad, healthy food, sandwich, juices, burger, desserts, pizza",500.0,4.2
Bhattara Bhojana,banashankari,south indian,150.0,3.6
Tandoori Knight,banashankari,"north indian, chinese, biryani, kebab",450.0,3.0
Dev Sagar - Food Street,basavanagudi,street food,200.0,4.1
Mitraa Da Pizza,kumaraswamy layout,"fast food, pizza",250.0,3.8
Paradise Premium,banashankari,"biryani, andhra, hyderabadi, north indian",700.0,3.1
Grazers,jayanagar,"cafe, burger, continental, italian, desserts",650.0,3.9
Shakes Theory,jayanagar,"beverages, sandwich",300.0,4.5
@Italy,kumaraswamy layout,italian,700.0,4.1
Chilli Flakes,banashankari,"fast food, italian, beverages",500.0,3.6
Calcutta Cafe,kumaraswamy layout,"bengali, chinese, sandwich",350.0,3.5
Old Mumbai Ice Cream,banashankari,ice cream,150.0,3.9
Donne Biriyani House,banashankari,"south indian, north indian, chinese, biryani",400.0,3.9
By 2 Coffee,basavanagudi,south indian,100.0,3.9
Kedia's Fun Food,jayanagar,"north indian, street food, juices",200.0,4.3
Davangere Butter Dosa Hotel,kumaraswamy layout,south indian,150.0,3.8
Just Shawarma,kumaraswamy layout,arabian,300.0,3.9
Mini Punjabi Dhaba,banashankari,north indian,350.0,4.2
Mulabagilu Dosa,basavanagudi,south indian,100.0,3.6
Gokul Veg,basavanagudi,"north indian, chinese, beverages",750.0,3.8
Olive - Era,kumaraswamy layout,"bbq, arabian, rolls, chinese, north indian, juices, kebab, desserts",550.0,3.3
Udupi Ruchi,banashankari,"south indian, north indian, chinese, street food",200.0,3.9
Madhappa Hindu Military Hotel,banashankari,south indian,300.0,3.4
Gama Gama,banashankari,south indian,200.0,3.9
Pizza Hut,banashankari,"pizza, fast food",750.0,3.8
Mangalore Pearl,jayanagar,"mangalorean, seafood, chinese, biryani",650.0,3.8
Asha Sweets Centre,basavanagudi,fast food,250.0,3.6
Twiststick House,basavanagudi,"continental, fast food, street food, momos",500.0,4.1
Cool Corner,basavanagudi,"street food, fast food",250.0,4.2
Pizza Mane,banashankari,"pizza, sandwich, burger, fast food",150.0,3.5
Dal Tadkaa,banashankari,north indian,500.0,2.5
Chutney Chang,jayanagar,"north indian, chinese, bbq",1500.0,4.1
Mystique Palate,jayanagar,"chinese, fast food",300.0,4.1
Thamboola,banashankari,"north indian, chinese, continental",800.0,3.9
Castle Rock,uttarahalli,"north indian, chinese",700.0,3.6
Vietnamese Kitchen,banashankari,vietnamese,700.0,3.6
C Corner,kumaraswamy layout,"fast food, street food",200.0,3.2
Paratha Merchant,kumaraswamy layout,north indian,300.0,3.1
North Rasoe,kumaraswamy layout,"north indian, chinese, biryani, kebab",500.0,3.1
Toscano,jayanagar,"italian, salad",1300.0,4.3
Lord Of The Kitchen,kumaraswamy layout,"north indian, chinese",350.0,3.9
Stoned Monkey,banashankari,"desserts, ice cream",500.0,4.3
Central Jail Restaurant,jayanagar,"andhra, seafood, north indian, chinese",700.0,3.8
Bella,jayanagar,"mangalorean, seafood, south indian",1000.0,3.9
Vennela Andhra Meals,jayanagar,andhra,400.0,3.0
New Prashanth Hotel,jayanagar,"south indian, biryani, chinese, north indian",750.0,3.6
The Grillo,jayanagar,"south indian, arabian, chinese, north indian, seafood, mangalorean",500.0,2.8
Re Malnad Nati Style Hotel,jp nagar,south indian,400.0,3.6
Karma Kaapi,jayanagar,"beverages, tea",250.0,4.4
Tiwari's,jayanagar,"north indian, street food",200.0,3.8
Pizza Stop,basavanagudi,"pizza, italian",600.0,3.8
Biggies Burger 'n' More,kumaraswamy layout,"cafe, burger, beverages",650.0,3.6
Kollapuri's,basavanagudi,"south indian, mangalorean",450.0,3.9
Kadamba Classic,mysore road,south indian,300.0,3.6
RS Shiv Sagar,basavanagudi,"north indian, chinese, south indian, fast food, juices",450.0,3.7
Kholi Mane,basavanagudi,"andhra, south indian, biryani, north indian",450.0,3.6
Harshi Super Sandwich,basavanagudi,"fast food, street food",150.0,3.8
Cake Yard,basavanagudi,desserts,250.0,3.4
Sri Udupi Veg,jayanagar,south indian,250.0,3.3
Cake Art,basavanagudi,bakery,400.0,3.5
Potato House,uttarahalli,street food,200.0,3.4
Matru Sagar,mysore road,"south indian, north indian",300.0,3.7
Ugadi,jayanagar,"north indian, chinese, biryani, andhra, mangalorean",700.0,2.9
Sri Krishna Sweets,basavanagudi,"mithai, desserts",250.0,3.7
In Time Cane Juice,kumaraswamy layout,"juices, beverages",100.0,3.5
Subway,banashankari,"salad, fast food",600.0,3.7
Daal Roti,kumaraswamy layout,"north indian, chinese",250.0,2.9
The Lassi Park,jayanagar,"juices, desserts",200.0,4.1
Cafe Coffee Day,jayanagar,"cafe, fast food",900.0,3.2
A2B - Adyar Ananda Bhavan,mysore road,"south indian, north indian, chinese, street food",400.0,3.8
Srikrishna Bhavan,banashankari,"south indian, north indian, chinese",300.0,3.8
Green Gardenia,banashankari,"north indian, chinese",700.0,3.8
J Spice,banashankari,"north indian, chinese",750.0,3.8
Karavali Family Restaurant,jayanagar,"seafood, biryani, south indian, north indian, chinese",500.0,3.5
Karavali Lunch Home,kumaraswamy layout,"south indian, mangalorean",350.0,3.7
Hatti Kaapi,jayanagar,"south indian, beverages",200.0,4.0
Kolkata Kathi Roll's,banashankari,"fast food, rolls",250.0,3.6
Upahara Darshini,basavanagudi,"north indian, chinese, south indian, fast food",600.0,3.9
The Chaat Shop,basavanagudi,fast food,200.0,2.5
Anda Ka Funda,jayanagar,"north indian, chinese, rolls",250.0,3.4
Shri Vinayaka Ice N Juice,basavanagudi,"beverages, fast food",150.0,3.2
Ibaco,jayanagar,desserts,300.0,3.9
Jalaram Sweets,jayanagar,"desserts, mithai",250.0,3.8
Samskruti - Sanman Gardenia,jayanagar,"north indian, chinese, south indian",550.0,4.1
Bendakaluru Bytes,vijay nagar,fast food,300.0,3.2
Cocoa Bakes,banashankari,"bakery, desserts",350.0,3.6
Chumma Delicious,banashankari,"south indian, fast food",200.0,3.7
New Prashanth Hotel,banashankari,"biryani, north indian, seafood, andhra",650.0,3.9
Dwaraka Grand,kumaraswamy layout,"south indian, chinese, street food, juices",500.0,3.9
Gufha - The President Hotel,jayanagar,"north indian, afghani, mughlai",1200.0,4.1
Tanna's Kitchen,kumaraswamy layout,"italian, chinese, street food",250.0,3.1
Shree Mandarathi Grand,uttarahalli,"south indian, north indian",400.0,3.7
Mojo Pizza - 2X Toppings,banashankari,pizza,600.0,4.2
Iceberg Icecreams,basavanagudi,"desserts, ice cream",250.0,4.0
South Kitchen,basavanagudi,south indian,100.0,4.3
Chung Wah,jayanagar,"chinese, thai, momos",850.0,3.7
Shanthi Sagar,uttarahalli,"south indian, north indian, chinese",400.0,3.1
Millet Mama,basavanagudi,"south indian, healthy food",200.0,3.9
Bangarpet Chat Express,basavanagudi,"street food, fast food",100.0,3.3
Prems Graama Bhojanam,jayanagar,south indian,400.0,4.3
Java City,jayanagar,"cafe, american, pizza",450.0,2.6
Kamat Bugle Rock,basavanagudi,"south indian, fast food",300.0,3.9
Puliyogare Point,basavanagudi,south indian,100.0,4.2
Bangalore Agarwal Bhavan,jayanagar,"street food, north indian, south indian",400.0,3.9
Rustic Stove,jayanagar,"north indian, south indian, biryani, beverages",900.0,3.8
Udupi Ruchi Grand,banashankari,"south indian, north indian, chinese, street food",200.0,4.2
De Thaali,jayanagar,"north indian, chinese, rolls",550.0,3.9
Just Thindi,basavanagudi,south indian,200.0,3.6
Matru Sagar,banashankari,"south indian, north indian, chinese",250.0,3.6
Vasanth Vihar - Since 1965,banashankari,"south indian, street food",150.0,3.6
Sea Spice by 7 Star,banashankari,"seafood, biryani, beverages, south indian, north indian, kebab",1200.0,4.0
Desi Dawat,kumaraswamy layout,"north indian, fast food",400.0,3.7
Cafe Aira,basavanagudi,"cafe, continental, beverages, desserts",500.0,4.1
Mast Punjabi,kumaraswamy layout,"north indian, chinese, rolls, biryani, kebab",400.0,2.6
South Grand,uttarahalli,"south indian, north indian, chinese, beverages",400.0,3.4
The Pizzeria,banashankari,"pizza, italian, salad",800.0,2.8
Cafe Zone,kumaraswamy layout,"fast food, chinese, rolls",300.0,3.9
Ruchis Point,banashankari,"fast food, chinese",200.0,3.8
Firangi Bake,rajarajeshwari nagar,"mexican, italian",600.0,4.0
The Royal Corner - Pai Viceroy,jayanagar,"north indian, chinese",900.0,4.2
Hara Fine Dine,banashankari,"north indian, chinese",800.0,4.0
Chocoberry,jayanagar,"ice cream, desserts, beverages",400.0,3.5
Dakshin Grand,banashankari,"south indian, north indian, chinese, street food",300.0,3.0
Sandwichwallas,jayanagar,fast food,200.0,3.7
Chai Mane,basavanagudi,"juices, fast food",150.0,3.6
SLV Upachar,kumaraswamy layout,"south indian, chinese, street food",250.0,3.1
Waffle-A-Go Go,banashankari,"fast food, desserts, ice cream",400.0,3.9
Cross Road Cafe,jayanagar,"cafe, fast food, chinese",300.0,3.9
Anand Donne Biriyani,jayanagar,biryani,200.0,3.6
Seven Star,banashankari,"north indian, chinese",250.0,3.4
Stop 'N' Joy,banashankari,fast food,150.0,3.8
Sri Yaksha Shiv Sagar,banashankari,"north indian, chinese",600.0,3.6
Fudge,basavanagudi,"desserts, momos",200.0,3.8
Just Bunny,jayanagar,fast food,200.0,3.5
Bakers Town,kumaraswamy layout,"cafe, continental, fast food",650.0,3.8
Shree Mahalakshmi Sweets,banashankari,"mithai, street food",100.0,3.2
Kaapi Kendra,jayanagar,south indian,100.0,3.7
Ivy,kumaraswamy layout,"north indian, chinese, fast food",600.0,3.8
The Airos,jayanagar,"cafe, italian, pizza",650.0,4.1
Chai Kraft,jayanagar,"beverages, tea",100.0,4.1
South Point Pub,basavanagudi,"north indian, seafood, chinese",800.0,3.4
The Trundle,jayanagar,"chinese, thai, continental, north indian",700.0,3.7
The Krishna Grand Xpress,jayanagar,"south indian, fast food",350.0,4.0
Sri Krishna Darshini,basavanagudi,"south indian, north indian, chinese",200.0,3.1
Shringar Sweets & Snacks,basavanagudi,"mithai, south indian, street food, fast food",200.0,3.5
Udupi Grand,basavanagudi,"south indian, north indian, chinese",300.0,3.8
Ganesh Grand,basavanagudi,"south indian, north indian, desserts",300.0,3.7
Shreyas Upahar & Burger Point,basavanagudi,"south indian, burger",200.0,3.0
Little Cafe,basavanagudi,"cafe, beverages",600.0,3.7
Mumbai Badam Milk & Lassi Center,basavanagudi,"beverages, desserts",100.0,3.6
Sri Krishna Sagar,banashankari,"north indian, chinese",400.0,3.2
Mylari Biryani Family Restaurant,banashankari,"biryani, fast food",400.0,3.7
1980s Games Cafe,basavanagudi,"cafe, fast food",400.0,3.4
Kadala Tarangaa,banashankari,"mangalorean, seafood, north indian",600.0,3.6
Namma Biryani,banashankari,"biryani, chinese, north indian",250.0,3.6
Nandhanu's Rasoi,kumaraswamy layout,"chinese, north indian",400.0,3.0
Hotel Pork Paradise,mysore road,south indian,300.0,3.7
As On Fire,south bangalore,"pizza, fast food, bbq",400.0,3.5
J K Fish Land,jayanagar,"seafood, mangalorean",300.0,3.6
Curry Leaves,basavanagudi,"andhra, north indian, chinese",800.0,4.1
Lassi Shop,banashankari,"beverages, ice cream, fast food",300.0,3.5
Magic Meals,jayanagar,"fast food, desserts, beverages",400.0,3.7
Desi Cream Junction,jayanagar,"chinese, north indian, pizza, italian",650.0,3.7
Drunken Monkey,kumaraswamy layout,"beverages, fast food",400.0,3.8
Ruchi's Corner,banashankari,fast food,200.0,2.7
Tandoori Bytes,kumaraswamy layout,north indian,700.0,3.6
Bangalore Donne Biriyani,kumaraswamy layout,"south indian, biryani",300.0,3.2
SGS Non Veg - Gundu Pulav,banashankari,"biryani, fast food",400.0,3.8
Keventers,banashankari,"desserts, beverages, ice cream",400.0,3.7
Navi Food Point,basavanagudi,fast food,200.0,3.6
Shawarma Inc,banashankari,"rolls, lebanese",250.0,3.1
The Cafe Nuts and Bolts,kumaraswamy layout,"cafe, fast food, chinese",500.0,3.0
AM WOW,jayanagar,beverages,100.0,3.4
Lalbagh Grand,basavanagudi,"south indian, north indian, chinese",250.0,3.0
Funjabi Curries,banashankari,north indian,500.0,2.9
Eat Repeat,basavanagudi,south indian,150.0,3.9
Salut,jayanagar,"continental, finger food, seafood, pizza",1200.0,4.1
Nammura Donne Biriyani,basavanagudi,"biryani, fast food",400.0,3.5
Lassi Stop,banashankari,"beverages, fast food, juices",150.0,3.4
Dakshin Kitchen,basavanagudi,south indian,100.0,3.6
Sri Sai Cafe,basavanagudi,south indian,200.0,3.5
Sri Sai 99 Variety Dosa,banashankari,south indian,300.0,3.8
Utsav Restaurant,banashankari,"north indian, chinese",300.0,3.8
Crunch and Munch,uttarahalli,"chinese, street food, ice cream",300.0,3.7
Food Geek,basavanagudi,"sandwich, fast food, rolls",350.0,3.8
Sri Krishna Aramane,kumaraswamy layout,"south indian, north indian, chinese, fast food",200.0,3.7
Great Indian Rolls,basavanagudi,rolls,100.0,3.3
Chats Point,basavanagudi,"fast food, street food",150.0,3.4
Food Point,kumaraswamy layout,"north indian, chinese",300.0,3.5
Swarga Ruchi,basavanagudi,south indian,200.0,3.3
Kolkata King,basavanagudi,"fast food, rolls",300.0,3.4
Sandwich Mama's And Frozen Monster,jayanagar,"ice cream, beverages, fast food",250.0,3.8
New Rajadhani Spicy,kumaraswamy layout,north indian,700.0,3.7
Big Mishra Pedha,jayanagar,mithai,250.0,2.9
VEGeatz,banashankari,"south indian, north indian",200.0,3.4
Foodizo,banashankari,"desserts, fast food, continental",300.0,3.6
Food Springs,jayanagar,"south indian, chinese",400.0,4.0
Chung's Chinese Corner,jayanagar,chinese,700.0,3.9
Eurasia Pasta and Barbeque by Little Italy,jayanagar,"italian, fast food, salad, bbq",1200.0,4.1
Goli Vada Pav No. 1,basavanagudi,street food,200.0,3.7
Ragoo's,jayanagar,"italian, pizza, north indian, salad",800.0,3.9
Pure & Natural,jayanagar,"fast food, continental, beverages, salad, healthy food",500.0,3.9
Maiyas,jayanagar,"north indian, south indian, fast food, juices",200.0,4.0
Sip n Dine,vijay nagar,"north indian, chinese, south indian",800.0,3.6
Cafe Mondo,basavanagudi,"cafe, italian, beverages",600.0,3.7
Jalpaan,jayanagar,"north indian, continental",900.0,4.0
Kataria's Pakwan,kumaraswamy layout,north indian,400.0,3.2
Juicy Momos,banashankari,"tibetan, momos",250.0,3.5
Amande Patisserie,basavanagudi,"bakery, french, desserts",300.0,4.0
Anand Sweets and Savouries,jayanagar,"mithai, street food",400.0,3.9
Chicken Hunt,banashankari,"south indian, north indian, chinese, biryani",350.0,3.5
Swadesh Tadka,banashankari,"north indian, chinese, beverages",600.0,3.5
Cane-O-La,basavanagudi,juices,100.0,3.8
New Biryani Mane,uttarahalli,"north indian, chinese, biryani, south indian",450.0,3.7
Upahara Darshini,jayanagar,"south indian, north indian, chinese",400.0,3.8
Karnataka Bhel House,basavanagudi,street food,100.0,4.1
Sreeraj Lassi Bar,jayanagar,beverages,150.0,4.1
Juice Junction Food Court,basavanagudi,"juices, south indian, chinese, fast food",200.0,3.7
Bunt's Biriyani Palace,banashankari,"north indian, south indian, chinese, biryani, seafood",400.0,3.0
Chai Point,jayanagar,"tea, beverages, fast food",250.0,3.2
Janahaar,banashankari,south indian,100.0,3.8
Utsav,banashankari,"north indian, street food",200.0,3.7
Meat And Eat,banashankari,"fast food, burger",500.0,3.1
Snacks Bite,kumaraswamy layout,"fast food, momos",400.0,3.0
The Spice Saga,kumaraswamy layout,"biryani, north indian, chinese, seafood",750.0,3.7
Dakshin Cafe,kumaraswamy layout,south indian,100.0,3.7
Kaulige Millet Corner,basavanagudi,"healthy food, south indian",150.0,3.3
Ifruit Ice Cream,kumaraswamy layout,"desserts, ice cream",150.0,3.3
Havmor,basavanagudi,"ice cream, desserts",200.0,3.8
Grand Food,banashankari,"south indian, bakery, chinese",250.0,3.4
Dining Hut,kumaraswamy layout,"north indian, chinese, south indian",400.0,3.5
Desi Swaad,kumaraswamy layout,north indian,400.0,3.5
Yummy Momos,kumaraswamy layout,"momos, tibetan, chinese",200.0,3.2
Masale Daan,banashankari,north indian,350.0,3.1
Grow Fit,jp nagar,"healthy food, north indian, thai",500.0,3.6
Sandwich Hub,jayanagar,"fast food, sandwich",300.0,3.4
Udupi Sri Krishna Cafe,jayanagar,"north indian, south indian",600.0,3.9
Starlite Bakery & Fastfood,jayanagar,"north indian, chinese, rolls, bakery, arabian, charcoal chicken, desserts",300.0,3.7
Veganbreak24x7,city market,"south indian, chinese, continental, biryani",199.0,2.8
Aadhya Hotel,basavanagudi,"south indian, north indian, chinese, biryani",800.0,3.3
Dodda Mane Baaduta,banashankari,"north indian, south indian, chinese, biryani",250.0,3.5
Swadd Kitchen,basavanagudi,"north indian, fast food",500.0,3.4
Happy Chopsticks,basavanagudi,"chinese, fast food",300.0,3.6
Udupi Upachar,banashankari,"south indian, north indian",500.0,3.3
Davanagere Benne Dose Hut,banashankari,south indian,100.0,3.4
Subz,jayanagar,"north indian, south indian",1000.0,4.2
Mint and Mustard,basavanagudi,"north indian, chinese",750.0,4.0
Chinese Square,basavanagudi,chinese,200.0,3.9
Punjabi Raswada,jayanagar,north indian,800.0,3.5
Vinny's,banashankari,"pizza, italian, continental, desserts",800.0,4.2
Chetty's Corner,uttarahalli,"fast food, burger, pizza",200.0,3.4
Kapoor's Cafe,jayanagar,north indian,800.0,4.2
Donne Biryani & Kabab Corner,kumaraswamy layout,"chinese, biryani",200.0,3.3
Sukh Sagar,jayanagar,"south indian, north indian, chinese, street food",450.0,3.8
S M V Snacks Corner,basavanagudi,fast food,200.0,3.7
Andhra Ruchulu,jayanagar,"andhra, biryani, north indian, chinese",1000.0,4.1
Steaming Mugs,basavanagudi,cafe,700.0,3.9
Rajathadri Food Fort,jayanagar,"south indian, north indian, chinese, street food",600.0,4.0
Brew Meister,jayanagar,"north indian, continental, finger food, american, asian",1500.0,4.1
Rasoi,banashankari,"north indian, chinese",300.0,3.3
Mr. Singh Da Dhaba,kumaraswamy layout,"north indian, chinese",300.0,3.6
Kababs N Biryani,banashankari,south indian,200.0,3.4
Ayodhya Upachar,banashankari,"south indian, north indian, chinese, street food",200.0,4.3
Biriyani Mane,jayanagar,"north indian, biryani",400.0,3.8
Cafe Ajfan,jayanagar,"cafe, continental, beverages",700.0,4.2
